,회사,공고제목,주소,경력,기술
0,블루닷,코덱 SW 엔지니어,서울 강남구,경력 2-12년,"C/C++능숙•H.264,H.265,AV1,VP9중하나이상에대해연구/개발경험이있으신분•업무자동화를위한스크립팅경험"
0,오버더핸드,유니티 개발자,서울 마포구,경력 3-5년,관련업무경력최소3~5년이상•Unity엔진과개발툴에대한이해와활용능력보유(C#/UGUI)•Unity을사용한게임/VR/AR/모바일출시등라이브서비스경험•업무를구조적으로정리하여문서화할수있는능력보유•해외여행에결격사유가없으신분•출시된서비스위주의포트폴리오(실사확인가능必)
0,블루닷,딥러닝 알고리즘 엔지니어(신입),서울 강남구,신입,"컴퓨터비전/머신러닝/딥러닝지식보유및관련프로젝트수행경험자•영상처리관련프로젝트수행경험자(Superresolution,Denoising,Deblurring,Coloradjustment등)•딥러닝프레임워크(e.g.Pytorch,Tensorflow등)개발가능"
0,무신사,Senior Automation QA Engineer (QA팀),서울 성동구,경력 5-12년,"API/Web/Native기반다양한환경기반자동화테스트분야에서최소5년이상의실무경력•다양한자동화테스트도구및프레임워크에대한깊은이해와경험•복잡한시스템아키텍처에대한이해와테스트계획수립능력•프로그래밍언어(예:Python,Java,C#등)에대한높은숙련도•문제해결을위한분석능력•팀협업시커뮤니케이션능력"
0,알프소프트,프론트엔드 개발자(3년 이상),경기 성남시,경력 3-5년,"ReactJS와NextJS를이용한2년이상의프론트엔드개발경험•Figma를통한디자이너와협업•커뮤니케이션및문제해결능력•Git, flow이용한코드버전관리경험•자기주도적인업무해결능력"
0,아인잡(AINJOB),"[자사 웹/앱 플랫폼] 백엔드 개발리더 (자바,스프링부트, aws5년+)",서울 강남구,경력 7-15년,"학력]학사이상(4년)Computer공학,혹은Software공학혹은관련학과학사[경력]개발경력7년~ㆍJava로서비스b2cplatform개발경험7년이상ㆍDataarchitecture/API설계/framework구축경험ㆍDB논리적설계/물리적설계/구현/운영ㆍ프로그램logic개발경험ㆍ결재기능,filtermatching기능ㆍB2C상용서비스플랫폼을개발경험이있는분ㆍAWSRDS,Codecommit,Jenkis(CI/CD),ECS개발및서버운영경험3년이상."
0,어밸브,AWS 백엔드 개발자,서울 서초구,경력 1-2년,"AWS클라우드서비스(EC2,S3,RDS,Lambda)를활용해프로젝트를빛낸경험이있으신분ㆍ다양한DBMS(예:MySQL,PostgreSQL등)를손쉽게다루실수있는분ㆍNode.js및Express.js,FastAPI,Flask와같은ServerFramework로멋진솔루션을만들고싶은분ㆍ프로그래밍언어로는Javascript와Python에능통하신분"
0,토스플레이스,Frontend Developer,서울 강남구,경력 1-15년,"이런분과함께하고싶어요]•React,Vue,Angular등SPA프레임워크사용에능숙하신분을찾아요.•단순히주어진개발을해내는것보다,주도적으로문제를발견하고분석해해결할수있는분이필요해요.•TypeScript,Flow를이용한JavaScript정적타입분석을경험해보신분이면좋아요."
0,플레이위드(playwith),웹 개발(팀장),서울 서초구,경력 5-20년," Java&SpringFramework(orSpringBoot등)기반웹서비스개발경험5년이상, ASP.NETwithC#(MVC)기반웹서비스개발경험5년이상, RESTfulAPI설계/구현및외부시스템연동경험, MySQL/MariaDB/MSSQLDB경험및프로시져개발경험, RDBMS스키마모델링및Query작성/Tuning역량"
0,에이치앤비라이프,Django 백엔드 개발자(2년 이상),경기,경력 2-3년,"실무경력2년이상(학원,부트캠프기간제외)•HTML,CSS,Javscript에대한이해가있으신분•Python,Django,RESTfulAPI에대한이해가깊으신분•주도적인업무처리가가능하신분"
0,더블엑스소프트(크립토택스),Spring 개발자,서울 강남구,경력 3-8년,"Java기반개발경력3년이상•Spring프레임워크에대한이해와경험•데이터베이스(MySQL,MongoDB,등)에대한이해와경험•AWS의다양한서비스를사용해보신"
0,코넥시오에이치,Back-end 개발자 (병역특례),서울 강남구,신입,"이공계석사이상의학위를취득하신분:졸업예정자도지원가능하나,졸업증취득후병무청에편입신청을할수있습니다.병무청에서는편입인원을선착순으로제한하고있으므로,졸업자부터우선하여신청됩니다.•컴퓨터프로그래밍및IT개발관련전공을하신분•한가지이상의프로그래밍언어에대한깊은이해를가지신분•RDBMS및NoSQL에대한이해를가지신분•석사과정에서수행프로젝트로직접개발업무를수행해보신분"
0,젭(zep),서버 개발자 (3년 이상),서울 강남구,경력 3-10년,"하나이상의프로그래밍언어를다룰수있는분•새로운지식,기술에대한관심과열정이있으신분•협업과커뮤니케이션이원활하고성실하신분"
0,슬로그업,[Alert] 백엔드 프로덕트 엔지니어 (4년 이상),서울 마포구,경력 4-6년,"로그업에서백엔드프로덕트엔지니어롤을수행하기위해선아래와같은요건이필요해요.또한해당요건의업무능력강화를위한교육이마련되어있어요., 4년이상의프로덕트개발경험이있거나그에준하는실력이있으신분, 효과적인데이터베이스설계가가능하신분, Node.js/NestFramework사용이가능하거나새로운언어학습에부담이없으신분, RestAPI설계가가능하신분"
0,스퀘어스,커머스 플랫폼 - 백엔드 엔지니어,서울 중구,경력 3-9년,백엔드개발경력3년이상•커머스서비스개발경험이있으신분•코드리뷰를통한프로덕트품질향상에적극적이신분•원활한커뮤니케이션을통한팀전반적인협업에익숙하신분•SQL과NoSQL등을혼합한개발에능숙하신분
0,슬로그업,[Alert] 백엔드 프로덕트 엔지니어 (신입),서울 마포구,경력 2-3년,"로그업에서백엔드프로덕트엔지니어롤을수행하기위해선아래와같은요건이필요해요.또한해당요건의업무능력강화를위한교육이마련되어있어요., 2년이상의프로덕트개발경험이있거나그에준하는실력이있으신분, 효과적인데이터베이스설계가가능하신분, Node.js/NestFramework사용이가능하거나새로운언어학습에부담이없으신분, RestAPI설계가가능하신분"
0,슬로그업,[Alert] 프론트엔드 프로덕트 엔지니어 (4년 이상),서울 마포구,경력 4-6년,"로그업에서프론트엔드프로덕트엔지니어롤을수행하기위해선아래와같은요건이필요해요.또한해당요건의업무능력강화를위한교육이마련되어있어요., 4년이상의프로덕트개발경험이있거나그에준하는실력이있으신분, Typescript/React/ReactNative사용이가능하거나새로운언어학습에부담이없으신분, RestAPI에대한이해도가있으신분, 디자인된결과물을효과적으로퍼블리싱할수있는분"
0,블렌딩(Vlending),음악유통정산 시스템 백엔드 개발,서울 강남구,경력 3-5년,스타트업을성공시킨개발자가되고자하는열망을지니신분•AWS를능숙하게다루고자하는분•Python을이용한스타트업스타일의개발프로세스를습득하고싶은개발자분•서버API개발경력최소5년이상또는그에준하는역량보유자분
0,티니어,iOS 개발자 (2년 이상),서울 구로구,경력 2-10년,"iOS애플리케이션개발경험(3년이상)•SwiftUI에대한이해가높은분•기획자,디자이너와다양한소통및협업경험•Git사용에대한이해및협업경험•앱스토어에앱출시경험이있으신분•적극적으로코드리뷰에참여하며긍정적인사고를지니신분"
0,티니어,프론트엔드 개발자 (2년 이상),서울 구로구,경력 2-10년,"대졸(4년)이상이공계열전공자•웹프론트엔드개발경험자(2년이상)•JavaScript•Typescript•React•PM,UI/UX디자이너및백엔드개발자와의협업경험•적극적이고능동적인의사소통능력"
0,파더스랩,Qt Application 개발자 (3년이상),서울 강남구,경력 3-10년,"학력:대졸이상관련학과전공자(전기,전자,컴퓨터학과등전공자)ㆍ경력3년이상ㆍQtFramework(Qt,QML등)을사용한Application작성경험필수"
0,인터엑스,[울산] 유니티 개발자,울산 남구,경력 2-10년,"이런분이필요해요!], 2년이상경력을갖추신분, C#,자료구조,알고리즘이해및네트워크프로그래밍경험이있으신분, 프로그래밍경험이있으신분[업무에꼭필요한기술스택입니다], Unity3D, C#"
0,에스티엘,스타트투데이 IT (Cloud DB관리자),경기 파주시,경력 3-5년,경력3~5년•AWS및Azure운영환경•성능테스트및DB서버사양산정환경자•DB모니터링및트러블셀카환경자•DB실행계획분석이가능한자•개발언어사용가능자
