,회사,공고제목,주소,경력,기술
0,브랜디(Brandi),[1000억↑투자] [브랜디] 데브옵스 엔지니어,서울 성동구,경력 4-15년,"4년이상의퍼블릭클라우드설계,구축,운영경험을보유하신분•InfrastructureasCode를이해하고구현할수있는분(Terraform,Packer,Helm)•스크립트작성또는코딩기술을보유한분(Python,Bash등)컨테이너및컨테이너오케스트레이션환경에대한이해가있으신분•GitOps,AWSCodeSeries,ArgoCD등개발, 빌드, 배포파이프라인과관련된다양한도구들의구성및활용경험이있으신분•리눅스,데이터베이스,스토리지,분산시스템,네트워크등인프라환경구성요소들에대한기본적인이해가있으신분•장애발생시,장애대응및재발방지를위한다양한경험을가지신분•반복적인업무의자동화및효율적인운영환경을구축하여불필요한리소스를절감한경험이있으신분"
0,소프트스피어,시니어 풀스택 개발자,서울 강남구,경력 5-10년,"웹개발경력5년이상(또는그에준하는역량)•Typescript,NextJS,Redux를사용한반응형웹개발경험•NodeJS(ExpressJS),NestJS기반의백엔드개발경험•RDBMS,NoSQL사용경험"
0,에스티씨랩(STCLab),"Software Engineer, Rust",서울 강남구,경력 3-7년,"3년이상의개발경험이있으신분•Java,C++,Golang,Rust중하나이상의언어를잘다루시는분•Rust에관심이있으신분•Kubernetes,AWS등클라우드환경에관심이있으신분•팀과의협업을통해공동목표를달성하는것을즐기며,뛰어난커뮤니케이션기술을가지신분•최신업계동향과기술을학습하고기술역량확장에열심히노력하시는분"
0,인터엑스,[서울] LLM 어플리케이션 및 MLOps 백엔드 개발자,서울 금천구,경력 5-10년,"이런분이필요해요!]•LangChain프레임워크를사용한언어모델(LLM)기반애플리케이션개발경험자•RESTfulAPI서비스개발경험자•AI/ML모델배포,서빙,모니터링경험자(MLOps,LLMOps)•비즈니스요구사항에따른DB설계경험자•주도적으로일을만들고,책임감있게리드하시는분•다른직군과함께문제를정의하고해결책을찾을수있는분[업무에꼭필요한기술스택입니다]•LangChain,LlamaIndex•RESTAPI(FastAPI등)•Python,PyTorch,LLM모델서빙프레임웍(TorchServe,mlflow등)•RDB(PostgreSql등),VectorDB(Pinecone등),Redis,ElasticSearch•Linux,Git,Docker,Kubernetes"
0,하이,[Web3]크로스체인 블록체인 프론트엔드 개발자,서울 성동구,경력 4-8년,"ypeScript를사용한React라이브러리기반프론트엔드개발경험이있으신분Recoil,Redux등의상태관리라이브러리를통한전역상태관리이해도가높으신분React, Query등의DataFetching라이브러리사용이능숙하신분"
0,파킹허브,Java Software Engineer 팀장급,서울 구로구,경력 8-15년,"만8년이상의백엔드개발경력을보유하신분•무중단서비스에대한이해도가높고,대용량트래픽처리에대한이해및서비스경험이있으신분•PublicCloud기반환경에서의서비스설계,구축및운영경험이있으신분•전체SDLC(소프트웨어생명주기)에대한경험이있으신분•데이터베이스스키마설계에대한깊은이해를가지신분•Linux관리운영경험이있으신분•Java+Springframework전문성을보유하신분•RESTfulAPI설계및개발/운영경험이있으신분•프로젝트리딩경험이있으신분"
0,아파트아이,JAVA 백엔드 개발자 (차장급),서울 금천구,경력 10-14년,"필요역량]•JAVA,Spring,Javascript,JQuery중급이상•RDBMSQuery작성중급이상•이해관계자와건설적인의사소통이가능한분•업무에필요한새로운기술을익히려는의지를갖고있는분[필요경력]•만10년~만14년(차장급)"
0,뉴아인,파이썬 백엔드 개발 / S/W Team Leader (5년 이상),서울 구로구,경력 5-10년,"웹서비스개발경력이최소5년이상이신분•팀원에게자신의지식을전할수있는의사소통능력을가지신분•비즈니스상황에맞는최선의기술을선택할수있는분•AWS,Azure,GCP등클라우드를통한웹서비스구축경험이있으신분•datamodeling경험(RDBMS,Nosql)이있으신분"
0,하이,[Web3] 크로스체인 프로토콜 스마트 컨트랙트 개발자,서울 성동구,경력 3-6년,"런분과함께하고싶어요•Solidity,Rust중1개언어경력3년이상•EVM,Solana,Tron등메인넷중노드운영가능한분•Assembly언어가능한분"
0,제주도닷컴,총괄 개발 팀장,서울 구로구,경력 5-15년,"퍼블릭클라우드(AWS)운영또는IDC서버운영경험자•리눅스계열및윈도우시스템운영관리실무자•Network,DB에대한기본적인이해와지식보유•.NETorJAVA개발자"
0,한국모바일결제,Node.js 시니어 개발자 (3년 이상),서울 강남구,경력 5-10년,"Node.js백엔드개발경험이3년이상경력개발자모집•MySQL사용이능숙하신분•하나이상의언어를능숙하게다루는분•클린코드,좋은설계를위한고민을해보신분•안정적으로운영되는서비스를개발해보신분"
0,튠잇,백엔드 엔지니어,경기 성남시,경력 8-15년,"Java&SpringFramework기반웹서버개발경험(경력8년~15년)•RestfulAPI설계/구현경험•백엔드시스템및RDB기반시스템구현경험•MySQL,PostgresqlDB구조설계및SQL개발역량•서비스개발에대한열정과새로운도전을즐기는자세•원활한커뮤니케이션능력과타인을배려하는마음"
0,에이치비엠피,프론트엔드,서울 구로구,경력 5-15년,"클라우드환경기반개발능력보유자•이미지,영상,채팅등관련플랫폼개발경력자•실무경력5년이상이신분"
0,에이제이코퍼레이션,스포츠용품 플랫폼 Front/Admin 개발자,서울 송파구,경력 3-6년,"경력3~6년•JAVA의경우,SpringFramework사용자혹은Python(Django)사용가능자•RestfulAPI설계및개발경험이있으신분(DFR은Python사용자에한함)•테스트코드적극적으로작성하시는분•Git및형상관리에익숙하신분•클라우드환경(AWS)에서의개발경험이있으신분"
0,미트박스글로벌,개발 담당자,서울 강남구,경력 4-10년,"유관경력4년이상보유하신분•JAVA(Springframework),JSP,MyBatis기반개발경험이있는분•Javascript,jquery에대한이해와개발경험이있는분•Web/WAS(Apache/Nginx/tomcat)에대한이해와환경구축경험이있는분•SVN,Git형상관리경험자"
0,파더스랩,안드로이드 앱개발 (3년이상),서울 강남구,경력 3-10년,경력3년이상•대졸이상관련학과전공자•Android개발경험
0,엠포스,백엔드 개발자 (3년 이상),서울 서초구,경력 3-10년,"초대졸이상,내국인•경력:경력3년이상"
0,메디팔(MedipalInc.),웹프론트엔드 개발자 (5년 이상),서울 강남구,경력 5-12년,"javascript,vue.js,HTML,CSS•5년이상의웹어플리케이션개발경력•1년이상의vue.js개발경험※직접적인vue.js제품경력은짧더라도react,typescript능숙자로vue.js러닝커브가빠른분지원가능"
0,컨택스츠아이오(NFTBank),Software Engineer-Data,서울 강남구,경력 5-10년,"런분을찾고있습니다아래항목중에3개이상의항목의능력을충족하시는분을찾습니다01.Language, Python/Scala/Rust중최소한하나이상의언어에능숙하신분02.RealtimeProcessEngineering, 다양한usecase로실시간파이프라인을구축하며대규모데이터를처리한경험이있으신분03.AnalyticalEngineering, DataWarehouse에서데이터모델링해서가치있는데이터마트로서빙한경험이있으신분04.BackendEngineering, 실시간과배치데이터를같이사용하며DataAPIServer를구축하며서빙한경험이있으신분, PostgreSQL기반DBMS및Redis와같은InMemoryStorage환경에능숙하신분05.CI/CD&Test, CI/CD자동화경험이있으신분, 테스트코드에대해깊은고민을해보신분"
0,아이엠에스이,백앤드 서비스 개발자,경기 성남시,경력 10-15년,"웹서비스개발및운영업무관련역량, 마이크로서비스아키텍처를적용한서비스설계및개발능력, 테스트설계및수행능력, 깃허브,지라,젠킨스등개발툴사용능력, 기획자와의소통능력•AWS등Public클라우드개발및운영경험"
0,헤세그,블록체인/백엔드 개발,서울 서초구,경력 4-10년," 5년이상경력을쌓으신분, Go(golang)개발이익숙하신분, 이더리움노드를운영해본경험이있으신분, RDBMS와같은관계형데이터베이스를구축해보신분, Docker사용경험이있으신분, 대용량트래픽서버개발경험이있으신분"
0,플루고코리아,[100억↑투자] Backend Engineer (3년 이상),서울 강남구,경력 3-5년,"3년이상5년이하의백엔드개발경력이있는분•Golang또는Typescript를활용한개발경험이있는분•AWS클라우드서비스에대한기본적인이해와AWSEKS,CDK등의사용경험이있는분•비즈니스레벨의영어커뮤니케이션이가능한분"
0,아이헤이트플라잉버그스,[600억↑투자] 백엔드 개발자 (시니어),서울 영등포구,경력 5-10년,"어떤분이어울릴까요?]•(중요해요!)5년이상아래경험들이있으신분•NodeJS,Python,Ruby,Java등을활용하여백엔드서비스개발경험이있는분•Typescript개발경험이있는분•Git,Git, flow에대한이해가있는분•GraphQL서버개발경험이있는분•실제API서비스를배포하고운영해본분•디자이너,기획,프론트엔드와협업하고관련직군에대한기본적인이해및협업능력이있는분•리눅스/유닉스환경에서의DevOps개발경험이있는분•AWS,Azure등의클라우드기반서비스운영경험이있는분•데이터베이스시스템(RDBMS및기타NoSQL류)에대한이해및설계능력이있는분"
0,만나컴퍼니,프론트엔드 개발자 (5년 이상),서울 구로구,경력 5-8년,"웹프론트엔드실무경험이5년이상인분•RESTAPI를활용한Web개발경험이있으신분•ReactJS,TypeScript에대한실무경험과이해가있는분•Unit/E2E테스트작성및배포자동화경험이있는분•프로젝트구조와디자인패턴에대한기준이있으신분•서버사이드렌더링(SSR)개발경험이있는분•원활한커뮤니케이션과협업능력을갖추신분"
0,프라이데이즈랩(Retentics),백엔드 개발자,서울 서초구,경력 3-6년,"백엔드개발자로이런분을찾아요]#자격요건•최소3년이상의Web, base프러덕개발혹은MLops경력이있으신분•Docker등컨테이너기반환경의서비스배포경험혹은이해가있으신분•고객의관점에서생각하고고객의경험을우선시하여개발하시는분"
0,발란(BALAAN),백엔드 엔지니어 (발란몰),서울 강남구,경력 5-15년,"5년이상의백엔드개발경험이있는분•Node.js를활용한서비스개발및운영경험이있는분•컴퓨터공학전공혹은그에준하는전공및지식을보유하신분•E, Commerce서비스에대한운영및개발경험이있는분•최신E, Commerce의Architecture에관심과지식이있는분•대규모트래픽핸들링경험이있는분•AWS,GCP,Kubernetes등Cloud환경에서의서비스설계및구축,운영경험이있는분[기술스택]•발란몰, 프론트:plaincss&jquery,ejs, 백엔드:Node.js14,MongoDB,Redis,MariaDB,AWSS3•백오피스:Node.js14,Vue.js,Bootstrap, Vue,Nuxt.js,MongoDB,Redis,MariaDB,AWSS3•검색엔진:Elasticsearch•분석:GoogleAnalytics•코드관리:Github,BitBucket•IDE:WebStorm,PHPStorm,IntellijIDEA,PyCharm•Tools:NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman•커뮤니케이션:Slack,Notion,Confluence,Jira,서비스데스크•모니터링:CloudWatch,Opsnow,자체모니터링툴"
0,이엔티팩토리,[크리에이터링] 콘텐츠 플랫폼 풀스택 개발자,서울 강남구,경력 4-7년,4~7년경력의풀스택(프론트엔드/백엔드)경험이있으신분•풀스택개발프로젝트수행경험•논리적사고및커뮤니케이션능력
0,크래프트테크놀로지스,Backend Engineer(Synthetic Alpha),서울 영등포구,경력 4-8년,"상급이상의Python및SWEngineering역량, numpy및pandas에대한이해도가높고,효율적인코드를작성할수있는분, 엄밀한클린코드작성의중요성을인지하고,그방법을알고있는분, 품질검증및코드테스트,수정및QA완료하여Resolve하는,CI/CDCycle을경험한분, Git에대해익숙하고,Github혹은Gitlab을활용해본경험이있는분•Relational,DocumentDB(No, SQL)에대해각각한종류이상의DB를다루어보신분•AWS및리눅스서버에대한주요개념,관리및유지보수경험•금융상품,트레이딩및투자에대한이해또는경험"
0,한국포인트거래소,Backend 개발자 (5년차+),서울 강남구,경력 5-10년," 블록체인과암호화폐를사랑하시는분, 5년이상의백엔드개발경험, Golang또는Node.js경험자, Github으로협업가능하신분"
0,파킹허브,Java Software Engineer 팀원 (만 4년 이상),서울 구로구,경력 4-7년,만4년이상의백엔드개발경력을보유하신분•무중단서비스에대한이해및실시간서비스경험이있으신분•PublicCloud기반환경에서의개발/운영경험이있으신분•RESTfulAPI개발/운영경험이있으신분•Linux환경에서의개발/운영경험이있으신분•좋은코드와설계를위한고민을꾸준히하시는분•Java+Springframework전문성을보유하신분•데이터베이스이해를가지신분
0,엠몬스타,VUE 프론트엔드 개발자 (3년 이상),경기 성남시,경력 3-8년,"vue3,TypeScript,JavaScript(ES+6)대한이해와개발경험•SPA,SSR,CSR,SEO에대한이해•RESTfulAPI에대한이해•크로스브라우징에대한이해와개발경험•피그마/XD디자인마크업(퍼블)경험•DOM구조에대한이해•CSS3,SCSS사용경험및이해•Git을사용한버전관리와협업경험"
0,리코(recokr),[300억↑투자] [개발팀] 시니어 백엔드 개발자,서울 강남구,경력 7-12년,"개발경력7~12년•Java(orKotlin)&SpringBoot기반웹서비스개발경력•SpringFramework구조이해및개발역량•MySQL,MariaDB등RDBMSSchema설계및SQL개발역량•JPA,Hibernate,MyBatis등DB사용구조이해및개발역량•RESTfulAPI에대한높은이해와개발경험•탄탄한전산기초지식(자료구조,알고리즘,OS,OOP등)•구글링을통해의문을해결하고반드시레퍼런스문서를확인하는습관을갖고계신분•원활한커뮤니케이션능력과타인을배려하는마음이있으신분•서비스개발에대한열정과새로운도전을즐기는자세가있으신분"
0,임플로이랩스,Lead Development Engineer (개발),경기 성남시,경력 7-20년,"python,javascript,Nodejs,Django,reactjs,nextjs,MySQL,AWS지식을갖춘분·7년이상의개발경력을가진분·ReactNative앱빌드경험·연봉5,000만원~8,000만원·스톡3,000만원~1억원"
0,멘티스코,IT 블록체인 플랫폼 개발,서울 강남구,경력 3-15년,유관업무3년이상경력자
0,바이온사이트,Software Engineer,서울 성동구,경력 2-10년,"Flask,fastapi등으로API개발경험이있으신분•Plotly.js,Bokeh,d3.js등visualization도구개발경험이있으신분•React기반웹앱혹은Qt기반어플리케이션개발경험이있으신분•MicroservicesArchitecture기반의시스템개발경험이있으신분"
0,엑스브레인(XBRAIN),소프트웨어 엔지니어,서울 강남구,경력 2-10년,"컴퓨터공학과졸업혹은서비스개발실무3년이상•언어:Python,JS/TS•Django,FastAPI,Flask,Spring와같은HTTPAPI를개발한경험•React,Angular,Vue와같은WebFrontend를개발한경험•애자일및스크럼문화에대한경험"
0,로보코리아(LOVO Korea),백엔드 엔지니어,서울 강남구,경력 5-8년," 새로운기술및트렌드에대해끊임없이관심을갖고이를활용하시는분, 하나의온전한서비스의아키텍처설계부터인프라,개발,배포,운영까지경험해보신분, AWS혹은기타클라우드환경을활용한인프라관리경험이있으신분, Datadog,Grafana,Prometheus등의서비스를통한모니터링경험이있으신분, 애자일,스크럼,칸반등의개발프로세스경험이있으신분"
0,카펜스트리트(에이콘3D),Backend Engineer (5년 이상),서울 강남구,경력 5-8년,"백엔드개발경험이5년이상또는그에준하는경험이있으신분•Node.js,Javascript,Typescript경험이있으신분•코드디자인패턴의중요성에공감하고이를생산적으로녹여낼수있으신분"
0,앵커스,JAVA 웹개발자 (7-10년),서울 마포구,경력 7-10년,"정보처리기사취득후7, 10년•대졸이상•Java/SpringFramework개발가능자•DBMS,DataStructure설계경험자*제출서류:•이력서,경력소개서,개발포트폴리오(해당자에한함)•경력소개에는경력사항및보유기술상세기재요망"
0,엠알피랩스,풀스택 개발자 리더급,서울 영등포구,경력 5-7년,"풀스택실무경험이최소5년이상인분•스스로적합한기술스택을선택하고개발환경을구축해본경험이있는분•프론트엔드,백엔드,서버,보안등회사의IT인프라를총괄할수있는역량이있는분•프로덕트설계부터배포까지전과정에참여한경험이많은분•AWS운용이가능한분"
0,해치랩스,[100억↑투자] [Face Wallet] Frontend Engineer,서울 강남구,경력 5-10년,5년이상의프론트엔드개발경험혹은이에준하는능력을가진분•React프로젝트개발경험이있는분•TypeScript프로젝트개발경험이있는분•동료들과의원활하게협업할수있는커뮤니케이션능력을지닌분
0,모던라이언,APP 개발자 (3년 이상),서울 종로구,경력 3-10년," 3년이상의개발경력이있거나그에준하는실력을갖추신분, 앱출시및운영경험이있는분, 모듈화,테스트,유지보수가용이한코드에대한이해를갖춘분, 기술중심이아닌유저중심적인태도를가지고계신분, 배움에대한열정을갖고,지속적이고효과적으로피드백을주고받는분"
0,딜랏,백엔드 개발자,서울 강남구,경력 2-10년,"백엔드개발경력3년이상이신분혹은상응하는경력을지니신분•JS,Ruby,Python중하나이상으로상용서비스를개발해본경험이있는분•AWS혹은Azure를사용하여서비스초기구축을진행해본경험이있는분•비즈니스요구사항에따른RDBMS,NoSQL,Cache설계경험이있는분•상용에서RESTfulAPI혹은GraphQL을설계한경험이있는분"
0,누비랩,[100억↑투자] 서비스 테크 리더,서울 강남구,경력 5-10년,"이런동료를찾고있어요]•성장하는스타트업에서개발팀을리드해본경험이있으신분•웹서비스(Front, end,Back, end)개발경력이최소5년이상이신분•비즈니스및고객,프로덕트에대한이해도와공감대가높으신분#FocusonCustomer•팀개발문화를발전시키는데관심이있고,팀원의성장을적극적으로이끌수있는분#FastFail&FastLearn•개발자간뿐만아니라타팀과의원활한커뮤니케이션능력을갖추신분#OneTeam"
0,마이크로프로텍트,Data Engineer(데이터 크롤링),서울 금천구,경력 3-7년,"빅데이터연구에필요한각종웹,앱의데이터를가져온경험이있으신분•패킷정보를분석한경험이있으신분•디바이스시스템접근경험이있으신분•네트워크에대한지식이있으신분•파이썬경험이있으신분"
0,오늘의작업장,서버 개발자 (4년 이상),서울 금천구,경력 4-10년,".경력:경력4년이상2.실제운영중인서비스개발,운영,관리해본경험이풍부하신분3.MySQL에대한이해가높으시고데이터모델링,설계가가능하신분4.Node.js,Express프레임워크,Socket.IO를이용하여개발한경험이있으신분5.AWS환경에서서버를구축하고관리한경험이있으신분6.Git을이용하여효율적인버전관리가가능하신분"
0,팩트블록(FactBlock),백엔드 개발자(3년 이상),서울 서초구,경력 3-6년,"백엔드서비스개발경력3년이상ㆍGo언어개발경험은없더라도객체지향언어개발경험이있으신분ㆍ기획,디자인,프론트개발직군과의원활한커뮤니케이션및자기주도적협업능력을갖춘분ㆍ디자인패턴을이해하시는분ㆍRDMS또는NoSQL설계가가능하고퍼포먼스에대한이해가높으신분ㆍAWS클라우드서비스에대한이해도가높으신분ㆍDebug,Logging에대한이해도가높으신분"
0,재담미디어,백엔드 개발자(인프라),서울 마포구,경력 5-15년,"3년이상의인프라운영경험•AWS클라우드서비스에대한이해하고구축과운영경험(EC2,RDB등)•네트워크관련기반지식보유(TCP/IP)•Linux시스템구축및운영경험•도커컨테이너및오케스트레이션에대한이해"
0,크래프트테크놀로지스,Backend Engineer(AI Investment Solution),서울 영등포구,경력 5-10년,"프로젝트의초기설정/빌드/완성까지전체과정을직접경험해보신분•백엔드개발5년이상혹은그에준하는역량을보유하신분•상급이상의Python및SWEngineering역량•CI/CD에대한이해와경험•AWS및리눅스서버에대한주요개념,관리및유지보수경험•금융상품및투자에대한이해또는경험•높은책임감을가지고주도적으로일을리드하는분"
0,네고시오,시니어 백엔드 개발자,서울 강남구,경력 5-10년," 5년이상의백엔드개발경력보유, 시니어레벨이상의역량을갖춘개발자우대, RESTfulAPI설계및구현능력보유, OOP에대한깊은이해, 데이터베이스설계및관리경험(SQL,NoSQL등), 대용량데이터처리및최적화경험, AWS클라우드서비스관리경험"
0,퀀팃,금융투자플랫폼 서비스 시니어 백엔드 개발자,서울 영등포구,경력 5-14년,"PythonWebFramework(Django,FastAPI등)를이용해서WebApplication개발/운영을5년이상해본분.(현재도경험하고계시는분)•고객관점에서생각하고B2C서비스개발및런칭,그리고이후유지보수경험이있으신분."
0,크로스이엔에프,Python 서버개발자,서울 강남구,경력 5-8년,"Python에기반한서버개발경험5년이상혹은그에준하는분•Django,Tornado,Flask등Python웹프레임워크활용경험이있으신분•Ubuntu기반서버운영경험이있으신분"
0,엔비티(NBT),[애디슨] 프론트엔드 엔지니어,서울 서초구,경력 6-15년,"프론트엔드개발실무6년이상또는그에준하는역량을보유하신분•ES6+등최신JavaScript,TypeScript능숙하게사용하시는분•HTML,SCSS를포함한마크업에대한이해가있으신분•웹API(또는RESTfulAPI)클라이언트개발경험및이해도가있으신분"
0,에프랩앤컴퍼니,소프트웨어 엔지니어,서울 강남구,경력 5-10년,경력5년이상이신분.•Spring계열의기술에능숙하신분.•AWS인프라에능숙하신분.•문제를풀기위해서라면어떤기술이라도학습하여사용할의지가있으신분.•프로덕트관점의마인드와오너쉽이있으신분
0,솔로몬텍,Mendix Developer,서울 영등포구,경력 1-10년,"소프트웨어개발경험1년이상•Java/C#등을활용한커스텀로직및integration개발능력보유자•UI(HTML,CSS,JavaScript,JQuery,AJAX)개발능력보유자•Lowcode개발에대한이해와배우려는의지가강하신분"
0,아더월드,블록체인 개발자,서울 성동구,경력 2-5년,"Solidity를활용한스마트컨트랙트개발경험이2년이상이거나그에준하는역량을갖추신분•Hardhat프레임워크사용경험이있으신분•Ethers.js및Web3.js와같은라이브러리사용경험이있으신분•EVM기반퍼블릭체인에대한이해도가있으신분•ERC20,ERC721과같은EIP표준에대한이해도가있으신분[전체개발환경]Backend:Nest.js,Node.js,TypeORMDatabase:MariaDB,RDSBlockchain:Ethereum,Polygon,Arbitrum,Solidity,Hardhat,Ethers.jsCI/CD:Kubernetes,Jenkins,ArgoCD,AWS,TencentCloud협업툴:Jira,Slack,Figma,Github,Flex,GoogleSuite"
0,디엑스티(DXTInc.),Visual Basic .Net 개발자 (중급 이상),서울 송파구,경력 5-10년," 5년이상의개발,프로젝트경험이있는분, javascript또는JQuery개발경험이있는분, .Net(닷넷)기반혹은객체지향언어개발경험이있는분, IIS(InternetInformationServices)로웹어플리케이션을배포한경험이있는분"
0,누리랩,응용개발자 및 취약점 분석가,서울 영등포구,경력 2-5년,학력:학력무관
0,퀀팃,프론트엔드 엔지니어,서울 영등포구,경력 5-8년,Flutter개발경험포함3년이상의모바일개발경험이있으신분•모바일아키텍쳐에대한높은이해도를가지신분•모바일UI/UX디자인및반응형인터페이스구현경험이있으신분•뛰어난문제해결능력과디테일한부분까지신경을쓰시는분•테스트코드와코드리뷰경험이있으신분•다른구성원들과활발하게소통하며책임감이강하신분
0,파더스랩,안드로이드 플랫폼 개발자 (5년이상),서울 강남구,경력 5-10년," 대졸이상관련학과전공자, 안드로이드플랫폼개발경험5년이상, Android및Linux기반임베디드시스템개발경력, Linux기반미들웨어(UI,Multimedia,Network등)개발"
0,약손명가헬스케어,백엔드/프론트엔드 개발 팀장,서울 강남구,경력 5-15년,대졸이상•5년이상•JAVA능숙자
0,엠몬스타,Python 백엔드 개발자 (3년이상),경기 성남시,경력 3-10년,"Python•Flask•FastApi•Django•Celery•Scrapy•RabbitMQ•ZMQ•Odin•Pydantic•GraphQL•Rest•Mysql•Redis•Docker•클라우드서비스(AWS,Azure)•Git•Kafka"
0,탈로스,풀스택 개발자 (1~5년),서울 강남구,경력 1-5년,"웹어플리케이션개발및운영경험1~5년이상혹은그에준하는경험과역량을보유한분•테스트코드를작성하고,테스트자동화프로세스를개발경험보유필수•풀스택업무경험필수(웹프론트엔드,RestAPI기반백엔드)•AWS등클라우드환경에서개발,운영경험이있는분•CI/CD파이프라인을구축한경험•동료개발자뿐만아니라,디자이너,기획자등타역할을가진동료들과적극적으로문제해결을위해커뮤니케이션할수있는분"
0,브이몬스터,백엔드 엔지니어 (3년차 이상),서울 서초구,경력 3-7년,"AI휴먼이세상에혁신을가져다줄수있다는믿음이있으신분•실무3년차이상또는그에준하는역량을보유하신분•하나의언어와백엔드프레임워크에대한경험이있는분•데이터베이스시스템(RDBMS및기타NoSQL류)에대한이해및설계능력이있는분•ComputerScience에대한기본지식을보유하신분•가독성,유지보수및재사용을위해코드를작성해본적이있으신분•Git을활용한버전관리및배포경험이있으신분•Notion,Slack등협업툴을사용해본적이있으신분•장애를경험하고해결한경험이있으신분•동료들과소통하며,논리적이고체계적으로문제를해결할수있으신분"
