,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL,기업 홈페이지 URL,수요
10,마크비전코리아,응용 소프트웨어 개발 및 공급업,100.0,2019.0,중소기업,789822.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드개발경력,웹지식,클라우드,클라우드서비스,논리,논리적인사고,사고,팀원간,AWS",3,"스크래핑,데이터,컨테이너,인프라",https://www.wanted.co.kr/wd/200606,www.marqvision.com,
11,위시빈,데이터베이스 및 온라인정보 제공업,20.0,2018.0,중소기업,749.0,서울특별시 중구,소프트웨어 엔지니어,"기반웹서비스개발,기초지식,쿠버,티스,개발경험자,형상관리,관리,Linux,Nodejsframework,RestAPI,MySQL,MongoDB,Frontend,Html,css,javascript,Docker,AWS,cloud,Git",7,"레거시,분석,역량,데이터,개선의지,구축,풀스택,협업,툴,관련경험,포트폴리오,서류검토,Elastic Search,Apache Solr,JIRA,Confluence",https://www.wanted.co.kr/wd/199404,www.wishbeen.co.kr,
12,비에이치에스엔,경영 컨설팅업,13.0,2020.0,중소기업,31271.0,서울특별시 강남구,소프트웨어 엔지니어,"개발실무경력3,언어모델,모델,방법론,사전학습,효율적,파라미터,파라미터튜닝,튜닝,결합,코드관리,관리,ML,AI,NLP,NLP,LLM,DistributedComputing,DAPT,DomainAdaptivePre,Training,PEFT,Parameter,EfficientFine,Tuning,Toolformer,API,Tool,LLM,Git,Docker",3,"프로젝트,배포,머신러닝,오픈소스,딥러닝,논문,컴퓨터과학,석박사,박사,학위,컨퍼런스,출판,ML,AI,Kaggle,AI,NLP,Top Tier",https://www.wanted.co.kr/wd/204924,bhsn.ai,
13,아이엠에스이,전기ㆍ전자공학 연구개발업,,2021.0,,,경기도 성남시 분당구,소프트웨어 엔지니어,"웹서비스개발,운영업무관련역량,마이크로,아키텍처,서비스설계,마이크로서비스,개발능력,테스트설계,수행능력,깃,깃허브,지라,젠킨스,개발툴사용능력,기획자,소통능력,클라우드,클라우드개발,AWS,Public",10,"역량,안정적,대응,능력,보안,운영중인,람다,OOP,pytest,unittest,AWS,CloudFoundation,SAM,Infrastructure as Code pipeline",https://www.wanted.co.kr/wd/205819,www.ms-global.com/,
14,한국부동산데이터연구소,응용 소프트웨어 개발 및 공급업,,2022.0,,3028.0,서울특별시 마포구,소프트웨어 엔지니어,"디자인,RESTAPI,nodejs,java,php,c,python",5,"클라우드,웹,앱,소통,성장,능력,개발자,해결,비대칭,부동산,주도적,부동산시장,에너지,vue,react,svelte,UX,html,css",https://www.wanted.co.kr/wd/190361,www.naezipscan.com,
15,퀀텀유니버스,응용 소프트웨어 개발 및 공급업,19.0,2020.0,중소기업,75094.0,제주특별자치도 제주시,소프트웨어 엔지니어,"5년개발경험,그래픽스,병역,병역면제,면제,Unity",2,"콘텐츠,제작,개념적,신기술,인터렉티브,완성도,소통,협업,능력,능동적,책임감,긍정적,MR,OOP,SwiftUI",https://www.wanted.co.kr/wd/180237,quantumuniverse.co,
16,드래프타입,응용 소프트웨어 개발 및 공급업,,2023.0,,,서울특별시 성동구,소프트웨어 엔지니어,"파라미터,조합,소스기술,직접코딩,사진,호기심,습관,기술적,기술적지식,기술적시야,시야,AI,StableDiffusion,LoRA,LyCORIS,PyTorch,AI",0,"이미지,서버,서빙,오픈소스,수정,Diffusion Model,Stable Diffusion,Pipeline,PyTorch,Linux,Docker,FastAPI,API",https://www.wanted.co.kr/wd/207185,www.draftype.net/,
17,미트박스글로벌,육류 도매업,69.0,2014.0,중소기업,5521702.0,서울특별시 강남구,소프트웨어 엔지니어,"통합경험,프로그래밍언어,Git,Jira,Jenkins,LinuxOS",5,"컨테이너,쿠버,티스,배포,구축,오픈소스,솔루션,CI,CD,Jira Plug,in Scriptrunner,REST API,Webhook,Jira,SW,trouble shooting,SW code Static Analysis,Cloud Infra,aws,gcp,azure,nCloud",https://www.wanted.co.kr/wd/202150,www.meatbox.co.kr,
18,커리어데이,데이터베이스 및 온라인정보 제공업,6.0,2021.0,중소기업,8338.0,서울특별시 송파구,소프트웨어 엔지니어,"서비스개발경험,업무관련,친절,매너,JavaScript,Node,js,SQL,MongoDB,DB,HTML,CSS,JavaScript,TypeScript,React,orNext,js",5,"알고리즘,데이터,데이터구조,프론트,프론트엔드,엔드,Nest,js,Next,js,AWS,React,CI,CD",https://www.wanted.co.kr/wd/160953,careerday.jobs,
19,파더스랩,응용 소프트웨어 개발 및 공급업,,2020.0,,122344.0,서울특별시 강남구,소프트웨어 엔지니어,"프로젝트,업무경력5년,외국어,능통,해외출장,출장,결격사유,관리,업무이해,관리능력,합리적인의사결정,논리적,대화,체계,체계적,문서화가,IT,Task,Risk",3,"차량,프로젝트,Automotive,SW,Embedded Project PM,Jira,Confluence,Tool",https://www.wanted.co.kr/wd/173859,fatherslab.com,
20,마켓디자이너스,온라인 교육 학원,80.0,2017.0,중소기업,896636.0,서울특별시 강남구,소프트웨어 엔지니어,"이해도,개발경력4년,웹뷰개발,디자인,컴포넌트,라이브러리,디자인시스템,정규직,6개월시용기간,정규직전환여부검토,전환,React,Next,js,Frontend,Typescript",4,"프레임워크,디자인,구축,탐구,웹,웹최적화,최적화,성능,시용기간,구성원,조직문화,핵심가치,책임감,역량,진보,변화,도전,성장,목표,업계,전문,소통,다양성,추진력,외국어,글로벌,테크,플랫폼,크루,디지털,교육경험,혁신,REST API,SSR,StroyBook,Cypress,Playwright,E,E,Interview Process,Core Value,Accountability,Progress,Professionalism,Team work,Mission,Vision,Misson,Vision,AI",https://www.wanted.co.kr/wd/206333,marketdesigners.com,
21,트루테크놀로지스,시스템 소프트웨어 개발 및 공급업,,2008.0,,45441.0,서울특별시 영등포구,소프트웨어 엔지니어,"Java,Javascript,REACT,Redux,TDD,BDD,NativeKoreanspeakerwithfluentEnglish,ContinuousDelivery",1,"Rust,Cucumber,AWS,CloudFormation,Terraform",https://www.wanted.co.kr/wd/198563,trufintech.io,
22,에타일렉트로닉스,전기ㆍ전자공학 연구개발업,,2019.0,,4301.0,경상북도 경산시,소프트웨어 엔지니어,전산,1,"임베디드,라이브러리,포팅,알고리즘,기획,무선충전,지식,F,W,IoT",https://www.wanted.co.kr/wd/99005,etaelec.com,
23,체인앱시스,시스템 소프트웨어 개발 및 공급업,,2020.0,,144632.0,서울특별시 강남구,소프트웨어 엔지니어,"개발경력최소3,TypeScript,JavaScript,NestJS,Express",3,"블록,블록체인,체인,개발자,소통,해결,Git,GitHub,Go,Q,Optional,Optional,Keplr",https://www.wanted.co.kr/wd/169095,chainapsis.com/,
24,에너닷,컴퓨터 프로그래밍 서비스업,,2018.0,,160875.0,서울특별시 서초구,소프트웨어 엔지니어,"프로그래밍언어중급이상,중급,숙련자,웹애플리케이션프레임워크,애플리케이션,Python,C,C",1,"전력,재생에너지,에너지,전기관련,자격증,ICT,EMS,PMS,BMS",https://www.wanted.co.kr/wd/201671,https://www.enerdot.co.kr/,
25,파더스랩,응용 소프트웨어 개발 및 공급업,,2020.0,,122344.0,서울특별시 강남구,소프트웨어 엔지니어,"대졸이상학력,경력5년이상,React,Vue,Angular,javascript,Typescript",5,"백엔드,엔드,앱",https://www.wanted.co.kr/wd/173394,fatherslab.com,
26,아하앤컴퍼니,경영 컨설팅업,,2014.0,,19980.0,서울특별시 강남구,소프트웨어 엔지니어,"개발경력3년,프로젝트,프로젝트개발경험,사용경험보유,디자인,동료,Android,JAVA,Kotlin,AndroidPlatform,AndroidJetpack,Reactive,KotlinCoroutines",3,"유닛,클린,아키텍처,프로젝트,디자인,패턴,지식,능동적,문제점,해결,웹,웹뷰,앱,딥링크,처리,UI,MVP,MVVM,MVC,Jetpack Compose",https://www.wanted.co.kr/wd/177879,www.a-ha.io,
27,어반데이터랩,시스템 소프트웨어 개발 및 공급업,,2019.0,,81133.0,대전광역시 유성구,소프트웨어 엔지니어,"워크활용,개발경력4년,활용개발환경구성,중급,중급이상실력,플랫폼,플랫폼구축,프로젝트,Backend,Frontend,framework,Angular,Vue,React,SQL,SI,PL",4,"웹,웹서비스,프로세스,커뮤니케이션,능력,개발경험,Cloud,AWS,NCP,Python,django,flask",https://www.wanted.co.kr/wd/137522,www.urbandatalab.co.kr,
28,아하앤컴퍼니,경영 컨설팅업,,2014.0,,19980.0,서울특별시 강남구,소프트웨어 엔지니어,"최소5년이상,프론트,코칭,양성,프론트엔드프레임워크,능통,기술적,개발언어,전과제,도전,개발효율,효율,인프라,팔로워,AutomatedTesting,CI,CD",5,"레거시,성능,향상,최적화,웹,반응형,디자인,모바일,앱,웹뷰,리더,프론트,프론트엔드,엔드,구축,마인드,근본적,호기심,구성원,React Native,UI,AWS,GCP,Vercel,Netlify,CI,CD,mono repo",https://www.wanted.co.kr/wd/167055,www.a-ha.io,
29,케이에스티씨,시스템 소프트웨어 개발 및 공급업,,2019.0,,,서울특별시 강남구,소프트웨어 엔지니어,"개발이력10년,Golang,JAVA",10,"영어,중국어,대용량,처리,네트워크,보안,런칭,B,C",https://www.wanted.co.kr/wd/173563,,
30,임플로이랩스,데이터베이스 및 온라인정보 제공업,,2020.0,,12.0,경기도 성남시 분당구,소프트웨어 엔지니어,"python,javascript,Nodejs,Django,reactjs,nextjs,MySQL,AWS,ReactNative",7,"주도적,효율적,개발환경,기획,동료,협업,시너지,해결,해결법,프로젝트,스타트업,대기업,Back,end,Devops,CTO",https://www.wanted.co.kr/wd/175164,employee-labs.com/,
31,파이온코퍼레이션,응용 소프트웨어 개발 및 공급업,,2019.0,,144045.0,서울특별시 강남구,소프트웨어 엔지니어,"편집기,기술전문가,전문가,프론트,프론트엔드개발경력,고객요구사항,FE,React,SPA",5,"온라인,광고,플랫폼,졸업자,업자,렌더링,최적화,프론트,프론트엔드,엔드,성능,지식",https://www.wanted.co.kr/wd/190718,pioncorp.com,
32,이큐브랩,그 외 기타 특수목적용 기계 제조업,62.0,2011.0,중소기업,187161.0,서울특별시 구로구,소프트웨어 엔지니어,"지식보유,제품개발경험보유,구성경험보유,구성요소개발경험,성능,웹서비스,최적화,최적화경험보유,Front,end,TypeScript,Webpack,Parcel,Vite,React,Storybook,UI,TDD,BDD,Lighthouse,Performance,ICUMessages",5,"실시간,디자이너,협업,WebSocket,Zeplin,E,E",https://www.wanted.co.kr/wd/115296,www.ecubelabs.com,
33,네고시오,유선 통신업,,2021.0,,0.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드개발,경력보유,시니어,개발자우대,구현능력보유,데이터베이스,데이터베이스설계,관리,관리경험,데이터,데이터처리,최적화,최적화경험,클라우드,클라우드서비스관리경험,RESTfulAPI,OOP,SQL,NoSQL,AWS",5,"스타트업,주도적,책임감,프로젝트,팀원,지도",https://www.wanted.co.kr/wd/124186,www.negocio.co.kr,
34,이큐브랩,그 외 기타 특수목적용 기계 제조업,62.0,2011.0,중소기업,187161.0,서울특별시 구로구,소프트웨어 엔지니어,"지식보유,개발경험보유,이해보유,통신,통신서버개발경험,서버개발경험보유,통신경험보유,Back,end,Node,js,TypeScript,CoAP,MQTT,LPWAN,NB,IoT,LoRaWAN,IoT,MQTTBrokerServer,ProtocolBuffer,gRPC,IoT",5,"플랫폼,서버,중계,프로토,프로토콜,The Things Stack,LoRaWAN,IoT,NB,IoT,IoT,IoT",https://www.wanted.co.kr/wd/115293,www.ecubelabs.com,
35,크래프트테크놀로지스,응용 소프트웨어 개발 및 공급업,,2016.0,,199642.0,서울특별시 영등포구,소프트웨어 엔지니어,"프로젝트,초기설정,설정,완성,전체과정,직접경험,백엔드개발5,상급,상급이상,리눅스,주요개념,개념,관리,유지,유지보수경험,보수,금융상품,상품,투자,주도적,책임감,Python,SWEngineering,CI,CD,AWS",5,"대용량,금융데이터,데이터,모델,모델링,Pipeline,Docker,K,S,DevOps,Kubeflow,MLflow,MLOps,Airflow,Flyte,DataOps,Machine Learning,Deep Learning",https://www.wanted.co.kr/wd/201728,www.qraftec.com,
36,파킹허브,응용 소프트웨어 개발 및 공급업,,2021.0,,,서울특별시 구로구,소프트웨어 엔지니어,"만8년이상,백엔드개발,무중단서비스,중단,이해도,트래픽,트래픽처리,서비스경험,기반환경,서비스설계,소프트웨어,소프트웨어생명주기,생명,주기,스키마,스키마설계,데이터베이스,관리,관리운영경험,전문,리딩,프로젝트,리딩경험,PublicCloud,SDLC,Linux,Java,Springframework,RESTfulAPI",8,"론칭,대용량,트래픽,정의,해결,자동화,적극적,커뮤니케이션",https://www.wanted.co.kr/wd/197460,,
37,하이,정보통신업,743.0,2021.0,중견기업,55981354.0,서울특별시 성동구,소프트웨어 엔지니어,"중1개언어,경력3년이상,메인넷중노드,넷,노드,운영가능,언어가능,Solidity,Rust,EVM,Solana,Tron,Assembly",3,"서버,서버리스,컴퓨팅,깃,깃허브,허브,버전관리,디파이,피드백,커뮤니케이션,AWS Lambda,Truffle,Hardhat,Foundry",https://www.wanted.co.kr/wd/201003,hi.com/ko,
38,씨드로닉스,"레이더, 항행용 무선기기 및 측량기구 제조업",,2015.0,중소기업,70648.0,울산광역시 남구,소프트웨어 엔지니어,"프로젝트,프로젝트관리직무관련,관리,5년이상경력자,공학석사학위이상,석사,학위",3,"기술기반,솔루션,규격,공인,공인인증,AI",https://www.wanted.co.kr/wd/198706,www.seadronix.com,
39,와이즈버즈,광고 대행업,,2017.0,,1577379.0,경기도 성남시 수정구,소프트웨어 엔지니어,"유관경력6년,사용경험자,Java,KotlinSpringFramework,RESTfulAPI,RDBMS,NoSQL",6,"컴퓨터공학,유관,졸업자,업자,소프트웨어,개발자,Micro Service Architecture,Agile,DevOps",https://www.wanted.co.kr/wd/171162,wisebirds.co,
40,플루고코리아,응용 소프트웨어 개발 및 공급업,,2022.0,,28417.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드개발,클라우드,클라우드서비스,비즈니스레벨,Golang,Typescript,AWS,AWSEKS,CDK",3,"마이크로,마이크로서비스,아키텍처,Kubernetes,Provisioned service,On,demand service,Kinesis,SNS FIFO,SQS FIFO,DynamoDB,Aurora Serverless v",https://www.wanted.co.kr/wd/168579,plugo.co/,
41,에스티씨랩,응용 소프트웨어 개발 및 공급업,70.0,2020.0,중소기업,1102295.0,서울특별시 강남구,소프트웨어 엔지니어,"클라우드,클라우드환경,공동,달성,공동목표,목표,커뮤니케이션기술,동향,확장,최신업계,기술역량,노력,Java,C,Golang,Rust,Rust,Kubernetes,AWS",3,"인프라,C,Go,Rust,AWS",https://www.wanted.co.kr/wd/199780,www.stclab.com,
42,하이,정보통신업,743.0,2021.0,중견기업,55981354.0,서울특별시 성동구,소프트웨어 엔지니어,"프레임워크기반,백엔드개발경험,이해도,준수,인프라,블록,체인,스마트,체인분야,트랙,트랙트를연결,트를,ypeScript,Express,RDBMS,PostgreSQL,AWS,CI,CD",5,"서버,서버리스,컴퓨팅,메모리,데이터베이스,성능,유닛,실시간,구축,피드백,커뮤니케이션,AWS Lambda,Redis,Memcached,WebSocket",https://www.wanted.co.kr/wd/193517,hi.com/ko,
43,누비랩,응용 소프트웨어 개발 및 공급업,,2018.0,,364798.0,인천광역시 서구,소프트웨어 엔지니어,"동료,웹서비스,최소5년이상,이해도,발전,팀개발문화,개발자간,Front,end,Back,end,FocusonCustomer,FastFail,FastLearn,OneTeam",5,"대용량,트래픽,처리,스타트업,아키텍처,조직문화,누비랩,프로베이션,역량,프로세스,전화,런스,포트폴리오,깃,깃허브,허브,형식,동기,프로젝트,해결,스펙,플랫폼,리더,AI,AI,Cognitive AI,Image Segmentation,LLM,LMM,MLOps,D,Open,d,PCL,Point Cloud Library,Front,end,TypeScript,React,Next,js,React Native,Back,end,Node,js,Javascript,ES,Nest,js,Express,Sequelize,ORM,MySQL,AWS,Docker,EKS,GitOps,Github,Slack,Notion,Jira,Figma,Framer,PDF,HR Lead,CEO,HR",https://www.wanted.co.kr/wd/195209,www.nuvi-labs.com,
44,한국모바일결제,응용 소프트웨어 개발 및 공급업,,2020.0,소기업,30062.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드개발경험,3년이상경력,개발자모집,클린,클린코드,안정적,Node,js,MySQL",5,"클라우드,구축,팀원,프로젝트,코드리뷰,성장,엔지니어,엔지니어링,긍정적,커뮤니케이션,협업,앱,키오스,플랫펌,앱서비스,AWS,GCP,Test Double,socket,io,redis,MySQL,MariaDB,MongoDB,O,O",https://www.wanted.co.kr/wd/191694,www.baroapp.co.kr,
45,브라운백,커피 가공업,,2015.0,,640335.0,서울특별시 서초구,소프트웨어 엔지니어,"엔지니어,엔지니어실무경력7,접목,프로덕트개발경험,클라우드,클라우드기반통신프로덕트,통신,개발참여경험,데이터,데이터구조,알고리즘,제품개발,테크,테크스택,S,W,S,W,H,W,PO,PM,ProductDesigner,B,B,Kotlin,Java,Springboot,PostgreSQL,Redis,React,Android,C,AWS",7,"안드로이드,디바이스,데이터,지식,알고리즘,툴,메커니즘,SW,OS,MDM,Analytics,Attribution,Integration",https://www.wanted.co.kr/wd/204235,www.browngagcoffee.co.kr,
46,엠포스,광고대행업,237.0,2000.0,중소기업,2005269.0,서울특별시 서초구,소프트웨어 엔지니어,"내국인,경력3년이상",3,"머스,애드,애드테크,테크,도메인,주도적",https://www.wanted.co.kr/wd/183327,www.emforce.co.kr,
47,크리스틴컴퍼니,기타 신발 제조업,5.0,2019.0,중소기업,72108.0,경상남도 김해시,소프트웨어 엔지니어,"딥러닝알고리즘개발,알고리즘,백앤드,앤드,프론트,앤드개발경험,발전,Python,Github,MySQL,AWS",5,"데이터,분석,딥러닝,모델,프로덕트,트렌드,논문,학습,인사이트,전산,계열,업계,스타트업,크리스,마인드,마인드셋,패션,신발,네이버,글로벌,협업,커뮤니케이션,능력,의류,제작,성장,책임감,업무방식,소통,창의적인,동료,토론,AI,IT",https://www.wanted.co.kr/wd/201262,http://www.kristinkorea.com,
48,파더스랩,응용 소프트웨어 개발 및 공급업,,2020.0,,122344.0,서울특별시 강남구,소프트웨어 엔지니어,"경력3년이상,대졸이상관련학과,Android",3,"영어,커뮤니케이션,Kotlin,Java",https://www.wanted.co.kr/wd/173860,fatherslab.com,
49,브랜디,남녀용 겉옷 및 셔츠 도매업,20.0,2014.0,중소기업,11721798.0,서울특별시 성동구,소프트웨어 엔지니어,"퍼블릭,클라우드,클라우드설계,스크립트,코딩기,딩기,스크립트작성,스트레이션환경,레이션,파이프,활용경험,파이프라인,리눅스,데이터베이스,스토리지,분산,분산시스템,네트워크,인프라,인프라환경구성요소,장애대응,반복,절감,자동화,리소스,효율,효율적,운영환경,InfrastructureasCode,Terraform,Packer,Helm,Python,Bash,GitOps,AWSCodeSeries,ArgoCD",4,"클라우드,구축,해결,인프라,자동화,자동화해본,마이크로,마이크로서비스,아키텍처,문제해결,능력,안정적,Terraform,Helm,Packer,Kubernetes,Istio",https://www.wanted.co.kr/wd/202726,www.brandi.co.kr,
50,프라이데이즈랩,응용 소프트웨어 개발 및 공급업,,2021.0,,14337.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드,최소3년이상,프러덕개발,배포경험,컨테이너기반환경,생각,Web,base,MLops,Docker",3,"영어,커뮤니케이션,백엔드,엔드,서버,데이터,분석,마케팅,솔루션,머스,리터,틱스,도메인,클라우드,컴퓨팅,웹,배포,라이브러리,해결책,처리,프레임워크,Python,AWS S,Azure,Serverless,Pandas,Numpy,root,Python,Go,Pandas,NumPy,AWS Lambda,AWS S,PostgreSQL",https://www.wanted.co.kr/wd/198197,www.retentics.com/kor,
51,헤세그,경영 컨설팅업,8.0,2020.0,중소기업,20100.0,서울특별시 서초구,소프트웨어 엔지니어,"5년이상경력,움노드,노드,데이터,관계형,베이스,트래픽,서버개발경험,Go,golang,RDBMS,Docker",4,"블록,블록체인,체인,지식,세팅,팀원,의사소통,도전,성장,수평적,자기개발,학습,Cosmos SDK,gRPC,Web,WAS Server",https://www.wanted.co.kr/wd/200434,www.hessegg.com,
52,만나컴퍼니,그 외 기타 분류 안된 교육기관,,2020.0,,296588.0,서울특별시 구로구,소프트웨어 엔지니어,"웹프론트,프론트,자동화,테스트작성,자동화경험,패턴,디자인,프로젝트,프로젝트구조,서버사이드렌더링,사이드,렌더링,협업능력,RESTAPI,Web,ReactJS,TypeScript,Unit,E,E,SSR",5,"트래픽,처리,앱,웹,성능,최적화,React Native,AWS,UI,UX",https://www.wanted.co.kr/wd/188100,kfriday.net,
53,발란,전자상거래 소매업,1.0,2015.0,중소기업,8913120.0,서울특별시 강남구,소프트웨어 엔지니어,"백엔드개발경험,서비스개발,대규모,핸들링,핸들링경험,대규모트래픽,트래픽,서의서비스설계,발란몰,프론트,백엔드,백오피스,검색엔진,엔진,분석,코드관리,관리,서비스데스크,데스크,자체모니터링툴,Node,js,E,Commerce,E,Commerce,Architecture,AWS,GCP,Kubernetes,Cloud,plaincss,jquery,ejs,Node,js,MongoDB,Redis,MariaDB,AWSS,Node,js,Vue,js,Bootstrap,Vue,Nuxt,js,MongoDB,Redis,MariaDB,AWSS,Elasticsearch,GoogleAnalytics,Github,BitBucket,IDE,WebStorm,PHPStorm,IntellijIDEA,PyCharm,Tools,NoSQLBooster,Heidisql,Xshell,WinMerge,Medis,Postman,Slack,Notion,Confluence,Jira,CloudWatch,Opsnow",5,"전공자,자료구조,네트워크,운영체제,알고리즘,모바일,웹,웹뷰,백엔드,엔드,구축,리딩,Typescript,E,Commerce,Unit,Integration,E,E,CI,CD,or,MSA,Source Management System,Branch Strategy,OAS,OpenAPI Specification",https://www.wanted.co.kr/wd/156443,www.balaan.co.kr,
54,한국포인트거래소,컴퓨터 프로그래밍 서비스업,,2021.0,,,서울특별시 강남구,소프트웨어 엔지니어,"블록,체인,암호,암호화폐,화폐,백엔드개발경험,협업가능,Golang,Node,js,Github",5,"프로젝트,블록,블록체인,체인,백엔드,엔드,크립토,Go Ethereum,geth,Open Ethereum,parity,Solidity,Web,EVM,Ethereum,Polygon,Layer,Layer,API,AWS DevOps,Web,js,Ethers,js",https://www.wanted.co.kr/wd/109149,www.kpxdx.com/,
55,케이스마텍,응용 소프트웨어 개발 및 공급업,,2010.0,,1336378.0,서울특별시 금천구,소프트웨어 엔지니어,"인프라,인프라구축,취약,취약점,취약점조치경험,조치,자동화,자동화배치,업무경력5년,Cloud,Kubernetes,LinuxServer,ShellScript,SE",5,"전공자,자격증,배포,툴,프로젝트,Cloud,ELK,Jenkins,Nexus",https://www.wanted.co.kr/wd/202754,www.ksmartech.com,
56,어니컴,시스템 소프트웨어 개발 및 공급업,415.0,1998.0,중소기업,2600067.0,서울특별시 용산구,소프트웨어 엔지니어,"5년실무경험,긍정적,소통가능,도전,학습능력,주도적,능동적",1,"오픈소스,구축,퍼블릭,클라우드,가상,자동화,Redis,RabbitMQ,elk,Azure,OpenStack,VMWare,Linux,CentOS,Rocky,Ubuntu,Shell Script,docker",https://www.wanted.co.kr/wd/142345,www.onycom.com,
57,크로스이엔에프,그 외 기타 금융 지원 서비스업,,2017.0,,579241.0,서울특별시 강남구,소프트웨어 엔지니어,"서버개발경험5,웹프레임,활용경험,서버운영경험,Python,Django,Tornado,Flask,Python,Ubuntu",5,"성능,멀티,멀티프로세스,프로세스,티스,티스레드,프로그래밍,대용량,처리,영어,성장,프로덕트,아이,API,API",https://www.wanted.co.kr/wd/153489,www.crossenf.com,
